pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
Kepler-866,b,Kepler-866 b,Transit,0,1,2.61703254,,,,,,0.145,,0,1,0,1,19h20m29.36s,290.122337,+43d05m08.0s,43.08556,690,658.51,15.835,Kepler-band,15.797,4751,0.75,0.71,5/10/16,Kepler
Kepler-867,b,Kepler-867 b,Transit,0,1,150.242127,,,,,,0.414,,0,1,0,1,19h09m08.48s,287.285313,+51d14m59.9s,51.249981,824,1233.23,14.827,Kepler-band,14.885,5541,0.92,0.91,5/10/16,Kepler
Kepler-868,b,Kepler-868 b,Transit,0,1,5.03251791,,,,,,0.183,,0,1,0,1,18h49m27.24s,282.363512,+46d40m30.9s,46.67524,1269,1669.86,15.695,Kepler-band,15.618,5614,0.93,0.89,5/10/16,Kepler
Kepler-869,b,Kepler-869 b,Transit,0,1,40.4287755,,,,,,0.322,,0,1,0,1,19h17m41.90s,289.424591,+50d59m38.8s,50.994122,957,965.44,14.982,Kepler-band,14.969,5664,0.97,0.95,5/10/16,Kepler
Kepler-87,b,Kepler-87 b,Transit,0,2,114.73635,0.481,0.036,89.274,1.02,Mass,1.204,0.729,1,1,0,1,19h51m40.05s,297.916877,+46d57m54.5s,46.96513,1277.88,1277.88,14.6,Kepler-band,14.587,5600,1.1,1.82,5/14/14,Kepler
Kepler-87,c,Kepler-87 c,Transit,0,2,191.2318,0.676,0.039,89.588,0.02,Mass,0.548,0.152,1,1,0,1,19h51m40.05s,297.916877,+46d57m54.5s,46.96513,1277.88,1277.88,14.6,Kepler-band,14.587,5600,1.1,1.82,5/14/14,Kepler
Kepler-870,b,Kepler-870 b,Transit,0,1,21.3587621,,,,,,0.248,,0,1,0,1,19h41m36.61s,295.402544,+50d28m43.1s,50.478634,1231,1306.07,15.259,Kepler-band,15.222,5857,1.01,1.02,5/10/16,Kepler
Kepler-871,b,Kepler-871 b,Transit,0,1,22.0459018,,,,,,0.334,,0,1,0,1,19h38m06.51s,294.52711,+43d22m05.4s,43.36816,1695,2089.98,15.689,Kepler-band,15.642,5993,1.11,1.14,5/10/16,Kepler
Kepler-872,b,Kepler-872 b,Transit,0,1,2.57885507,,,,,,0.178,,0,1,0,1,19h41m40.19s,295.417461,+43d36m20.3s,43.60564,1114,901.81,15.106,Kepler-band,15.071,5902,1.05,1.08,5/10/16,Kepler
Kepler-873,b,Kepler-873 b,Transit,0,1,20.5533844,,,,,,0.335,,0,1,0,1,19h45m36.77s,296.403212,+51d16m16.8s,51.271339,1397,1223.38,14.829,Kepler-band,14.795,6163,1.18,1.27,5/10/16,Kepler
Kepler-874,b,Kepler-874 b,Transit,0,1,40.0686727,,,,,,0.352,,0,1,0,1,19h39m49.65s,294.95686,+43d00m51.6s,43.014328,1072,1116.42,14.683,Kepler-band,14.694,6020,1.09,1.13,5/10/16,Kepler
Kepler-875,b,Kepler-875 b,Transit,0,1,27.5073799,,,,,,0.259,,0,1,0,1,19h49m12.31s,297.3013,+43d08m30.8s,43.141888,1244,1286.01,15.219,Kepler-band,15.21,5958,1.06,1.11,5/10/16,Kepler
Kepler-876,b,Kepler-876 b,Transit,0,1,5.14438011,,,,,,0.128,,0,1,0,1,18h53m54.77s,283.478199,+43d23m01.6s,43.383781,735,840.34,15.369,Kepler-band,15.33,5060,0.81,0.77,5/10/16,Kepler
Kepler-877,b,Kepler-877 b,Transit,0,1,18.45847097,,,,,,0.189,,0,1,0,1,19h19m26.19s,289.859129,+46d31m21.6s,46.522667,572,1283.76,14.516,Kepler-band,14.523,5261,0.85,0.81,5/10/16,Kepler
